"","strategy_free_ans","high_low_verbal","talk_out_loud","worker_id","n","experiment"
"319","It depended on the list, ome I could remind myself with rhyme, others with similar endings, ough.","low_verbal","Yes","A8C3WNWRBWUXO",24,"phon_sim"
"320","It was easier than noramll because the words stayed the same just in different order.","low_verbal","Yes","ADY44EV3GCW85",24,"phon_sim"
"321","Just focus and speaking the words in order to memorize the sequence","high_verbal","Yes","A1F9KLZGHE9DTA",24,"phon_sim"
"322","made up stories to go with the section","high_verbal","Yes","79548",24,"phon_sim"
"323","Memory not so good","low_verbal","Yes","A2SKY4RRWII0BF",24,"phon_sim"
"324","N/A","high_verbal","Yes","77815",24,"phon_sim"
"325","N/A","low_verbal","Yes","79580",23,"phon_sim"
"326","no","high_verbal","No","A38OPVI04AH4JG",24,"phon_sim"
"327","no","high_verbal","Yes","A2MOKIEQZ0OF2M",24,"phon_sim"
"328","no","high_verbal","Yes","AXPZAP62ZYWP8",23,"phon_sim"
"329","no","low_verbal","No","A1CFMY4CEYOM8Y",24,"phon_sim"
"330","no","low_verbal","No","A1PUSSRD8P5HHH",24,"phon_sim"
"331","no","low_verbal","Yes","A10JXOU89D5RXR",24,"phon_sim"
"332","no","low_verbal","Yes","A289D98Z4GAZ28",24,"phon_sim"
"333","no","low_verbal","Yes","A3F90N8YVKJ4I7",24,"phon_sim"
"334","No","high_verbal","Yes","AMELYCC59JKB0",23,"phon_sim"
"335","No","low_verbal","Yes","A26BQ33MHKVYFB",24,"phon_sim"
"336","no_answer","high_verbal","No","A2WDF40FA670T9",24,"phon_sim"
"337","no_answer","high_verbal","Yes","77543",24,"phon_sim"
"338","no_answer","high_verbal","Yes","78099",24,"phon_sim"
"339","no_answer","high_verbal","Yes","78422",24,"phon_sim"
"340","no_answer","high_verbal","Yes","80016",24,"phon_sim"
"341","no_answer","high_verbal","Yes","A2PUL3ZDXOW0VZ",24,"phon_sim"
"342","no_answer","high_verbal","Yes","AB09F0Q4T10TE",24,"phon_sim"
"343","no_answer","low_verbal","No","78010",21,"phon_sim"
"344","no_answer","low_verbal","No","79171",14,"phon_sim"
"345","no_answer","low_verbal","No","A35CHBMYRAXDNZ",17,"phon_sim"
"346","no_answer","low_verbal","No","A3FNC8ELMK8YJA",24,"phon_sim"
"347","no_answer","low_verbal","No","A5P12YJP805RG",24,"phon_sim"
"348","no_answer","low_verbal","Yes","77763",24,"phon_sim"
"349","no_answer","low_verbal","Yes","77866",24,"phon_sim"
"350","no_answer","low_verbal","Yes","78478",23,"phon_sim"
"351","no_answer","low_verbal","Yes","80623",24,"phon_sim"
"352","no_answer","low_verbal","Yes","A1DUPOUC9RNU4L",24,"phon_sim"
"353","no_answer","low_verbal","Yes","AKVDK30EEV08C",24,"phon_sim"
"354","No, my main strategy was to say them out loud.","low_verbal","Yes","80446",24,"phon_sim"
"355","No.","low_verbal","No","A2NAKIXS3DVGAA",24,"phon_sim"
"356","none","high_verbal","Yes","A304UJAE051J89",24,"phon_sim"
"357","none","low_verbal","Yes","A2YB18JHC2C7GF",24,"phon_sim"
"358","nothing","high_verbal","Yes","A2WJMGV0HKQG3Z",24,"phon_sim"
"359","Nothing to add","high_verbal","No","A1M64R8HPYNNZA",23,"phon_sim"
"360","Remembering the first letter of each word","low_verbal","No","80050",23,"phon_sim"
"361","repeating each word to myself","high_verbal","Yes","78938",23,"phon_sim"
"362","said it in my head","high_verbal","No","A3T01NM4993LZE",24,"phon_sim"
"363","Sometimes I would just try to remember the first letter of the words because the endings of the words sounded the same.","low_verbal","Yes","A12HZGOZQD5YK7",24,"phon_sim"
"364","sometimes i'd imagine scenes with the words for example: I'd imagine someone coughing while kneading dough roughly","low_verbal","Yes","79188",24,"phon_sim"
"365","that got really boring after like 4 trials and my mind wandered","high_verbal","Yes","78471",22,"phon_sim"
"366","that was impossible","low_verbal","No","A26RO8GGTQAXGG",24,"phon_sim"
"367","The words with friend/plea/row were much easier to remeber because it was easier to form a mental story even if the order changed. I tried to use my hands and body to gesture things like ""row"" and ""plea""","high_verbal","Yes","79970",24,"phon_sim"
"368","This was terrible to try to remember","low_verbal","Yes","A3KVKK1XLBTSN3",24,"phon_sim"
"369","too hard. my mind is tired. i have memory issues","low_verbal","Yes","A15T9HDPHV3X7Q",24,"phon_sim"
"370","tried to make sentences out of the words","high_verbal","Yes","A34LSCB90T5KYE",24,"phon_sim"
"371","tried to picture them like a story","high_verbal","Yes","78304",24,"phon_sim"
"372","Try to make up a story with the words","low_verbal","Yes","79437",24,"phon_sim"
